,True,Predicted,Count
0,Agriculture & Food,Animals,3
1,Agriculture & Food,Climate,2
2,Agriculture & Food,Endangered Animals,1
3,Agriculture & Food,Environment,2
4,Agriculture & Food,Genetically Modified,3
5,Agriculture & Food,Microbes,1
6,Agriculture & Food,New Species,1
7,Agriculture & Food,Zoology,1
8,Animals,Agriculture & Food,3
9,Animals,Biology,1
10,Animals,Biotechnology,2
11,Animals,Climate,3
12,Animals,Endangered Animals,12
13,Animals,Environment,1
14,Animals,Extinction,3
15,Animals,Genetically Modified,2
16,Animals,Geography,1
17,Animals,Microbes,1
18,Animals,New Species,2
19,Animals,Pollution,2
20,Animals,Zoology,2
21,Biology,Agriculture & Food,6
22,Biology,Animals,5
23,Biology,Biotechnology,15
24,Biology,Climate,1
25,Biology,Endangered Animals,1
26,Biology,Environment,4
27,Biology,Genetically Modified,2
28,Biology,Microbes,9
29,Biology,Ozone Holes,1
30,Biotechnology,Agriculture & Food,1
31,Biotechnology,Biology,14
32,Biotechnology,Genetically Modified,10
33,Biotechnology,Microbes,5
34,Biotechnology,Pollution,1
35,Climate,Agriculture & Food,6
36,Climate,Animals,1
37,Climate,Biology,1
38,Climate,Earthquakes,1
39,Climate,Endangered Animals,10
40,Climate,Environment,3
41,Climate,Geography,6
42,Climate,Hurricanes Cyclones,2
43,Climate,New Species,1
44,Climate,Ozone Holes,1
45,Climate,Pollution,3
46,Climate,Weather,10
47,Earthquakes,Climate,1
48,Earthquakes,Hurricanes Cyclones,1
49,Earthquakes,Weather,1
50,Endangered Animals,Agriculture & Food,2
51,Endangered Animals,Animals,14
52,Endangered Animals,Extinction,2
53,Endangered Animals,Genetically Modified,2
54,Endangered Animals,Geography,5
55,Endangered Animals,New Species,3
56,Endangered Animals,Pollution,1
57,Endangered Animals,Weather,1
58,Endangered Animals,Zoology,1
59,Environment,Agriculture & Food,7
60,Environment,Animals,2
61,Environment,Climate,1
62,Environment,Endangered Animals,4
63,Environment,Genetically Modified,1
64,Environment,Geography,2
65,Environment,Microbes,2
66,Environment,New Species,1
67,Environment,Pollution,7
68,Environment,Weather,1
69,Environment,Zoology,1
70,Extinction,Agriculture & Food,2
71,Extinction,Animals,4
72,Extinction,Biology,1
73,Extinction,Climate,4
74,Extinction,Endangered Animals,7
75,Extinction,Hurricanes Cyclones,1
76,Extinction,New Species,4
77,Extinction,Pollution,1
78,Genetically Modified,Agriculture & Food,2
79,Genetically Modified,Animals,3
80,Genetically Modified,Biology,1
81,Genetically Modified,Biotechnology,3
82,Genetically Modified,Endangered Animals,1
83,Genetically Modified,Microbes,2
84,Genetically Modified,New Species,1
85,Geography,Agriculture & Food,1
86,Geography,Animals,2
87,Geography,Biology,1
88,Geography,Climate,11
89,Geography,Earthquakes,4
90,Geography,Endangered Animals,6
91,Geography,Environment,2
92,Geography,Extinction,7
93,Geography,Hurricanes Cyclones,1
94,Geography,New Species,1
95,Geography,Pollution,3
96,Geography,Weather,4
97,Geology,Earthquakes,1
98,Global Warming,Climate,1
99,Global Warming,Hurricanes Cyclones,1
100,Global Warming,Weather,2
101,Hurricanes Cyclones,Climate,1
102,Hurricanes Cyclones,Earthquakes,1
103,Hurricanes Cyclones,Endangered Animals,1
104,Hurricanes Cyclones,Extinction,1
105,Hurricanes Cyclones,Genetically Modified,1
106,Hurricanes Cyclones,Weather,2
107,Microbes,Agriculture & Food,1
108,Microbes,Animals,1
109,Microbes,Biology,7
110,Microbes,Biotechnology,3
111,Microbes,Genetically Modified,4
112,Microbes,Pollution,2
113,New Species,Animals,9
114,New Species,Climate,2
115,New Species,Endangered Animals,9
116,New Species,Genetically Modified,1
117,New Species,Geography,2
118,Ozone Holes,Climate,1
119,Ozone Holes,Pollution,5
120,Ozone Holes,Weather,1
121,Pollution,Agriculture & Food,6
122,Pollution,Animals,2
123,Pollution,Climate,3
124,Pollution,Endangered Animals,1
125,Pollution,Environment,7
126,Pollution,Genetically Modified,2
127,Pollution,Geography,1
128,Pollution,Ozone Holes,1
129,Pollution,Weather,9
130,Weather,Agriculture & Food,1
131,Weather,Animals,2
132,Weather,Climate,10
133,Weather,Endangered Animals,1
134,Weather,Environment,1
135,Weather,Extinction,1
136,Weather,Hurricanes Cyclones,2
137,Weather,New Species,1
138,Zoology,Agriculture & Food,3
139,Zoology,Animals,8
140,Zoology,Biotechnology,1
141,Zoology,Endangered Animals,2
142,Zoology,Extinction,1
143,Zoology,Genetically Modified,2
144,Zoology,Geography,1
145,Zoology,Microbes,2
146,Zoology,New Species,1
